route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
8-2256,GLINE_2-S1-Sa-Saturday-03,57942871-GLINE_2-S1-Sa-Saturday-03,"to Mt Baker Station",0,6421880,S1-Sa03-8-E1-2
8-2256,GLINE_2-S1-Sa-Saturday-03,57942872-GLINE_2-S1-Sa-Saturday-03,"to Mt Baker Station",0,6421881,S1-Sa03-8-E1-2
8-2256,GLINE_2-S1-Sa-Saturday-03,57942873-GLINE_2-S1-Sa-Saturday-03,"to Mt Baker Station",0,6421883,S1-Sa03-8-E1-2
8-2256,GLINE_2-S1-Sa-Saturday-03,57942874-GLINE_2-S1-Sa-Saturday-03,"to Mt Baker Station",0,6421884,S1-Sa03-8-E1-2
8-2256,GLINE_2-S1-Sa-Saturday-03,57942875-GLINE_2-S1-Sa-Saturday-03,"to Mt Baker Station",0,6421885,S1-Sa03-8-E1-2
8-2256,GLINE_2-S1-Sa-Saturday-03,57942876-GLINE_2-S1-Sa-Saturday-03,"to Mt Baker Station",0,6421886,S1-Sa03-8-E1-2
8-2256,GLINE_2-S1-Sa-Saturday-03,57942877-GLINE_2-S1-Sa-Saturday-03,"to Mt Baker Station",0,6421882,S1-Sa03-8-E1-2
8-2256,GLINE_2-S1-Sa-Saturday-03,57942878-GLINE_2-S1-Sa-Saturday-03,"to Mt Baker Station",0,6421880,S1-Sa03-8-E1-2
8-2256,GLINE_2-S1-Sa-Saturday-03,57942879-GLINE_2-S1-Sa-Saturday-03,"to Mt Baker Station",0,6421881,S1-Sa03-8-E1-2
8-2256,GLINE_2-S1-Sa-Saturday-03,57942880-GLINE_2-S1-Sa-Saturday-03,"to Mt Baker Station",0,6421883,S1-Sa03-8-E1-2
8-2256,GLINE_2-S1-Sa-Saturday-03,57942881-GLINE_2-S1-Sa-Saturday-03,"to Mt Baker Station",0,6421884,S1-Sa03-8-E1-2
8-2256,GLINE_2-S1-Sa-Saturday-03,57942882-GLINE_2-S1-Sa-Saturday-03,"to Mt Baker Station",0,6421885,S1-Sa03-8-E1-2
8-2256,GLINE_2-S1-Sa-Saturday-03,57942883-GLINE_2-S1-Sa-Saturday-03,"to Mt Baker Station",0,6421886,S1-Sa03-8-E1-2
8-2256,GLINE_2-S1-Sa-Saturday-03,57942884-GLINE_2-S1-Sa-Saturday-03,"to Mt Baker Station",0,6421882,S1-Sa03-8-E1-2
11-2256,GLINE_2-S1-Sa-Saturday-03,57943333-GLINE_2-S1-Sa-Saturday-03,"to Madison Park",0,6421907,S1-Sa03-11-n1-0
49-2256,GLINE_2-S1-Sa-Saturday-03,57943334-GLINE_2-S1-Sa-Saturday-03,"to University District",0,6421888,S1-Sa03-49-n1-0
49-2256,GLINE_2-S1-Sa-Saturday-03,57943335-GLINE_2-S1-Sa-Saturday-03,"to University District",0,6421887,S1-Sa03-49-n1-0
49-2256,GLINE_2-S1-Sa-Saturday-03,57943336-GLINE_2-S1-Sa-Saturday-03,"to University District",0,6421889,S1-Sa03-49-n1-0
