route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
12-2254,GLINE_2-S1-Wk-Weekday-05,57939935-GLINE_2-S1-Wk-Weekday-05,"to Interlaken Park",0,6421824,S1-Wk05-12-n1-0
12-2254,GLINE_2-S1-Wk-Weekday-05,57939936-GLINE_2-S1-Wk-Weekday-05,"to Interlaken Park",0,6421826,S1-Wk05-12-n1-0
12-2254,GLINE_2-S1-Wk-Weekday-05,57939937-GLINE_2-S1-Wk-Weekday-05,"to Interlaken Park",0,6421823,S1-Wk05-12-n1-0
12-2254,GLINE_2-S1-Wk-Weekday-05,57939938-GLINE_2-S1-Wk-Weekday-05,"to Interlaken Park",0,6421825,S1-Wk05-12-n1-0
12-2254,GLINE_2-S1-Wk-Weekday-05,57939939-GLINE_2-S1-Wk-Weekday-05,"to Interlaken Park",0,6421824,S1-Wk05-12-n1-0
12-2254,GLINE_2-S1-Wk-Weekday-05,57939940-GLINE_2-S1-Wk-Weekday-05,"to Interlaken Park",0,6421826,S1-Wk05-12-n1-0
12-2254,GLINE_2-S1-Wk-Weekday-05,57939941-GLINE_2-S1-Wk-Weekday-05,"to Interlaken Park",0,6421823,S1-Wk05-12-n1-0
12-2254,GLINE_2-S1-Wk-Weekday-05,57939942-GLINE_2-S1-Wk-Weekday-05,"to Interlaken Park",0,6421825,S1-Wk05-12-n1-0
12-2254,GLINE_2-S1-Wk-Weekday-05,57939943-GLINE_2-S1-Wk-Weekday-05,"to Interlaken Park",0,6421824,S1-Wk05-12-n1-0
12-2254,GLINE_2-S1-Wk-Weekday-05,57939944-GLINE_2-S1-Wk-Weekday-05,"to Interlaken Park",0,6421826,S1-Wk05-12-n1-0
12-2254,GLINE_2-S1-Wk-Weekday-05,57939945-GLINE_2-S1-Wk-Weekday-05,"to Interlaken Park",0,6421823,S1-Wk05-12-n1-0
12-2254,GLINE_2-S1-Wk-Weekday-05,57939946-GLINE_2-S1-Wk-Weekday-05,"to Interlaken Park",0,6421825,S1-Wk05-12-n1-0
12-2254,GLINE_2-S1-Wk-Weekday-05,57939947-GLINE_2-S1-Wk-Weekday-05,"to Interlaken Park",0,6421824,S1-Wk05-12-n1-0
12-2254,GLINE_2-S1-Wk-Weekday-05,57939948-GLINE_2-S1-Wk-Weekday-05,"to Interlaken Park",0,6421826,S1-Wk05-12-n1-0
12-2254,GLINE_2-S1-Wk-Weekday-05,57939949-GLINE_2-S1-Wk-Weekday-05,"to Interlaken Park",0,6421823,S1-Wk05-12-n1-0
12-2254,GLINE_2-S1-Wk-Weekday-05,57939950-GLINE_2-S1-Wk-Weekday-05,"to Interlaken Park",0,6421825,S1-Wk05-12-n1-0
12-2254,GLINE_2-S1-Wk-Weekday-05,57939951-GLINE_2-S1-Wk-Weekday-05,"to Interlaken Park",0,6421824,S1-Wk05-12-n1-0
12-2254,GLINE_2-S1-Wk-Weekday-05,57939952-GLINE_2-S1-Wk-Weekday-05,"to Interlaken Park",0,6421826,S1-Wk05-12-n1-0
12-2254,GLINE_2-S1-Wk-Weekday-05,57939953-GLINE_2-S1-Wk-Weekday-05,"to Interlaken Park",0,6421823,S1-Wk05-12-n1-0
12-2254,GLINE_2-S1-Wk-Weekday-05,57939954-GLINE_2-S1-Wk-Weekday-05,"to Interlaken Park",0,6421825,S1-Wk05-12-n1-0
12-2254,GLINE_2-S1-Wk-Weekday-05,57939955-GLINE_2-S1-Wk-Weekday-05,"to Interlaken Park",0,6421824,S1-Wk05-12-n1-0
12-2254,GLINE_2-S1-Wk-Weekday-05,57939956-GLINE_2-S1-Wk-Weekday-05,"to Interlaken Park",0,6421826,S1-Wk05-12-n1-0
12-2254,GLINE_2-S1-Wk-Weekday-05,57939957-GLINE_2-S1-Wk-Weekday-05,"to Interlaken Park",0,6421823,S1-Wk05-12-n1-0
12-2254,GLINE_2-S1-Wk-Weekday-05,57939958-GLINE_2-S1-Wk-Weekday-05,"to Interlaken Park",0,6421825,S1-Wk05-12-n1-0
12-2254,GLINE_2-S1-Wk-Weekday-05,57939959-GLINE_2-S1-Wk-Weekday-05,"to Interlaken Park",0,6421824,S1-Wk05-12-n1-0
