stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_x_coord,stop_y_coord,zone_id,stop_url,location_type,parent_station
11410,,"15th Ave E / E Roy St",,  47.625029,-122.312592,1275657.9,231496.7,,,0,
11420,,"15th Ave E / E Mercer St",,  47.623973,-122.312610,1275646.0,231111.4,,,0,
11430,,"15th Ave E / E Republican St",,  47.622894,-122.312632,1275633.1,230718.0,,,0,
11480,,"E Pine St / 15th Ave",,  47.615341,-122.313251,1275427.3,227966.4,,,0,
11490,,"E Pine St / 13th Ave",,  47.615272,-122.315900,1274773.8,227954.1,,,0,
11520,,"E Pine St / 12th Ave",,  47.615268,-122.316488,1274628.7,227955.4,,,0,
11535,,"E Pine St / 15th Aly E",,  47.615231,-122.311849,1275772.4,227919.9,,,0,
11570,,"15th Ave E / E Harrison St",,  47.622666,-122.312555,1275650.4,230634.5,,,0,
11590,,"15th Ave E / E Roy St",,  47.625429,-122.312587,1275662.0,231642.6,,,0,
11600,,"15th Ave E / E Aloha St",,  47.627099,-122.312569,1275678.1,232251.6,,,0,
11610,,"15th Ave E / E Prospect St",,  47.628904,-122.312553,1275694.6,232909.6,,,0,
11620,,"15th Ave E / E Highland Dr",,  47.630837,-122.312527,1275714.5,233614.3,,,0,
11630,,"Grandview Pl E / E Galer St",,  47.632524,-122.311920,1275876.0,234227.0,,,0,
11640,,"Grandview Pl E / E Garfield St",,  47.634079,-122.311900,1275892.0,234793.7,,,0,
1180,,"Pike St / 4th Ave",,  47.610084,-122.336847,1269571.3,226162.2,,,0,
11890,,"S Jackson St / Martin L King Jr Way S",,  47.599240,-122.297746,1279139.1,222021.3,,,0,
1190,,"Pike St / 6th Ave",,  47.611098,-122.334573,1270139.3,226520.9,,,0,
1195,,"Pike St / 7th Ave",,  47.611822,-122.332690,1270608.8,226776.1,,,0,
12010,,"S Jackson St / 23rd Ave S",,  47.599234,-122.301419,1278233.1,222036.6,,,0,
12210,,"E McGilvra St / 42nd Ave E",,  47.640759,-122.278124,1284263.8,237072.0,,,0,
12220,,"42nd Ave E / E Lynn St",,  47.638861,-122.278428,1284175.8,236381.0,,,0,
12230,,"42nd Ave E / E Newton St",,  47.636723,-122.278454,1284154.8,235601.6,,,0,
12240,,"42nd Ave E / E Madison St",,  47.635612,-122.278469,1284143.5,235196.2,,,0,
12250,,"E Madison St / 41st Ave E",,  47.634687,-122.279753,1283820.6,234865.0,,,0,
12260,,"E Madison St / McGilvra Blvd E",,  47.633566,-122.281407,1283405.3,234463.7,,,0,
12270,,"E Madison St / 38th Ave E",,  47.631943,-122.283818,1282799.7,233883.0,,,0,
12280,,"E Madison St / 36th Aly E",,  47.630261,-122.286305,1282175.0,233281.3,,,0,
12290,,"E Madison St / 34th Ave E",,  47.628850,-122.288260,1281683.4,232775.8,,,0,
12310,,"E Madison St / Lake Washington Blvd E",,  47.625873,-122.292655,1280579.3,231710.7,,,0,
12322,,"E Madison St / 28th Ave E",,  47.623116,-122.296724,1279556.8,230724.0,,,0,
12340,,"E Madison St / 25th Ave E",,  47.620825,-122.300107,1278706.9,229904.4,,,0,
12353,,"E Madison St / 19th Ave",,  47.616562,-122.307823,1276774.5,228386.0,,,0,
12354,,"E Madison St / 17th Ave",,  47.615462,-122.310460,1276116.5,227997.5,,,0,
12372,,"E Madison St / 17th Ave",,  47.615521,-122.310320,1276151.5,228018.2,,,0,
12373,,"E Madison St / 18th Ave",,  47.616235,-122.308606,1276579.0,228270.5,,,0,
12378,,"E Madison St / 25th Ave E",,  47.621145,-122.299629,1278826.9,230018.9,,,0,
12380,,"E Madison St / 27th Ave E",,  47.622537,-122.297579,1279342.0,230517.0,,,0,
12390,,"E Madison St / 29th Ave E",,  47.624115,-122.295251,1279927.1,231081.6,,,0,
12400,,"E Madison St / Lake Washington Aly E",,  47.626204,-122.292167,1280701.9,231828.9,,,0,
12410,,"E Madison St / 33rd Aly E",,  47.628238,-122.289163,1281456.6,232556.9,,,0,
12420,,"E Madison St / 36th Ave E",,  47.629945,-122.286520,1282119.8,233167.0,,,0,
12430,,"E Madison St / 38th Ave E",,  47.631447,-122.284302,1282677.0,233704.6,,,0,
12440,,"E Madison St / 39th Ave E",,  47.632478,-122.282898,1283030.1,234073.9,,,0,
12450,,"E Madison St / 41st Ave E",,  47.634344,-122.280024,1283751.5,234741.2,,,0,
12460,,"43rd Ave E / E Blaine St",,  47.634886,-122.277138,1284466.6,234925.3,,,0,
12470,,"43rd Ave E / E Madison St",,  47.636635,-122.277116,1284484.0,235563.3,,,0,
12480,,"43rd Ave E / E Lynn St",,  47.639089,-122.277086,1284508.1,236458.2,,,0,
12484,,"Martin L King Jr Way S / S Hill St",,  47.584259,-122.298138,1278938.4,216559.7,,,0,
12486,,"Martin L King Jr Way S / S Bayview St",,  47.581032,-122.296826,1279239.7,215376.5,,,0,
12487,,"Martin L King Jr Way S / S Massachusetts St",,  47.587996,-122.298165,1278957.7,217922.6,,,0,
12532,,"23rd Ave S / S Lane St",,  47.596710,-122.302225,1278016.8,221119.8,,,0,
12640,,"23rd Ave S / S Jackson St",,  47.598979,-122.302301,1278013.7,221947.5,,,0,
12910,,"9th Ave / Jefferson St",,  47.604911,-122.324157,1272664.4,224214.6,,,0,
13190,,"Interlaken Turnback Loop / Interlaken Turnback Loo",,  47.632450,-122.307314,1277011.0,234178.2,,,0,
13200,,"19th Ave E / E Galer St",,  47.631897,-122.307309,1277008.3,233976.5,,,0,
13210,,"19th Ave E / E Highland Dr",,  47.630439,-122.307247,1277013.5,233444.5,,,0,
13220,,"19th Ave E / E Prospect St",,  47.628493,-122.307273,1276993.4,232734.8,,,0,
13230,,"19th Ave E / E Aloha St",,  47.626648,-122.307298,1276974.4,232062.0,,,0,
13240,,"19th Ave E / E Mercer St",,  47.624199,-122.307287,1276960.0,231168.9,,,0,
13250,,"19th Ave E / E Harrison St",,  47.621903,-122.307325,1276934.6,230331.6,,,0,
13260,,"19th Ave E / E John St",,  47.619460,-122.307366,1276907.5,229440.9,,,0,
13270,,"19th Ave / E Denny Way",,  47.618262,-122.307386,1276894.1,229004.0,,,0,
