route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
8-2255,GLINE_2-S1-Su-Sunday-04,57940756-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
8-2255,GLINE_2-S1-Su-Sunday-04,57940757-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
8-2255,GLINE_2-S1-Su-Sunday-04,57940758-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
8-2255,GLINE_2-S1-Su-Sunday-04,57940759-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
8-2255,GLINE_2-S1-Su-Sunday-04,57940760-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
8-2255,GLINE_2-S1-Su-Sunday-04,57940761-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
8-2255,GLINE_2-S1-Su-Sunday-04,57940762-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
8-2255,GLINE_2-S1-Su-Sunday-04,57940763-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
8-2255,GLINE_2-S1-Su-Sunday-04,57940764-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
8-2255,GLINE_2-S1-Su-Sunday-04,57940765-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
8-2255,GLINE_2-S1-Su-Sunday-04,57940766-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
8-2255,GLINE_2-S1-Su-Sunday-04,57940767-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
10-2255,GLINE_2-S1-Su-Sunday-04,57940960-GLINE_2-S1-Su-Sunday-04,"to Downtown Seattle",1,6421863,S1-Su04-10-s1-1
10-2255,GLINE_2-S1-Su-Sunday-04,57940961-GLINE_2-S1-Su-Sunday-04,"to Downtown Seattle",1,6421862,S1-Su04-10-s1-1
10-2255,GLINE_2-S1-Su-Sunday-04,57940962-GLINE_2-S1-Su-Sunday-04,"to Downtown Seattle",1,6421863,S1-Su04-10-s1-1
10-2255,GLINE_2-S1-Su-Sunday-04,57940963-GLINE_2-S1-Su-Sunday-04,"to Downtown Seattle",1,6421862,S1-Su04-10-s1-1
10-2255,GLINE_2-S1-Su-Sunday-04,57940964-GLINE_2-S1-Su-Sunday-04,"to Downtown Seattle",1,6421863,S1-Su04-10-s1-1
10-2255,GLINE_2-S1-Su-Sunday-04,57940965-GLINE_2-S1-Su-Sunday-04,"to Downtown Seattle",1,6421862,S1-Su04-10-s1-1
10-2255,GLINE_2-S1-Su-Sunday-04,57940966-GLINE_2-S1-Su-Sunday-04,"to Downtown Seattle",1,6421863,S1-Su04-10-s1-1
10-2255,GLINE_2-S1-Su-Sunday-04,57940967-GLINE_2-S1-Su-Sunday-04,"to Downtown Seattle",1,6421862,S1-Su04-10-s1-1
8-2255,GLINE_2-S1-Su-Sunday-04,57940968-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
8-2255,GLINE_2-S1-Su-Sunday-04,57940969-GLINE_2-S1-Su-Sunday-04,"to Mt Baker Station",0,,S1-Su04-8-E1-2
8-2255,GLINE_2-S1-Su-Sunday-04,57940970-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
8-2255,GLINE_2-S1-Su-Sunday-04,57940971-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
8-2255,GLINE_2-S1-Su-Sunday-04,57940972-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
8-2255,GLINE_2-S1-Su-Sunday-04,57940973-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
8-2255,GLINE_2-S1-Su-Sunday-04,57940974-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
8-2255,GLINE_2-S1-Su-Sunday-04,57940975-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
8-2255,GLINE_2-S1-Su-Sunday-04,57940976-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
8-2255,GLINE_2-S1-Su-Sunday-04,57940977-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
8-2255,GLINE_2-S1-Su-Sunday-04,57940978-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
8-2255,GLINE_2-S1-Su-Sunday-04,57940979-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
8-2255,GLINE_2-S1-Su-Sunday-04,57940980-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
8-2255,GLINE_2-S1-Su-Sunday-04,57940981-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
8-2255,GLINE_2-S1-Su-Sunday-04,57940982-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
8-2255,GLINE_2-S1-Su-Sunday-04,57940983-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
8-2255,GLINE_2-S1-Su-Sunday-04,57940984-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
8-2255,GLINE_2-S1-Su-Sunday-04,57940985-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
8-2255,GLINE_2-S1-Su-Sunday-04,57940986-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
8-2255,GLINE_2-S1-Su-Sunday-04,57940987-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
8-2255,GLINE_2-S1-Su-Sunday-04,57940988-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
8-2255,GLINE_2-S1-Su-Sunday-04,57940989-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
8-2255,GLINE_2-S1-Su-Sunday-04,57940990-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
8-2255,GLINE_2-S1-Su-Sunday-04,57940991-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
8-2255,GLINE_2-S1-Su-Sunday-04,57940992-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
8-2255,GLINE_2-S1-Su-Sunday-04,57940993-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
8-2255,GLINE_2-S1-Su-Sunday-04,57940994-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
8-2255,GLINE_2-S1-Su-Sunday-04,57940995-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
8-2255,GLINE_2-S1-Su-Sunday-04,57940996-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
8-2255,GLINE_2-S1-Su-Sunday-04,57940997-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
8-2255,GLINE_2-S1-Su-Sunday-04,57940998-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
8-2255,GLINE_2-S1-Su-Sunday-04,57940999-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
8-2255,GLINE_2-S1-Su-Sunday-04,57941000-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
8-2255,GLINE_2-S1-Su-Sunday-04,57941001-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
8-2255,GLINE_2-S1-Su-Sunday-04,57941002-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
8-2255,GLINE_2-S1-Su-Sunday-04,57941003-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
8-2255,GLINE_2-S1-Su-Sunday-04,57941004-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
8-2255,GLINE_2-S1-Su-Sunday-04,57941005-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
8-2255,GLINE_2-S1-Su-Sunday-04,57941006-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
8-2255,GLINE_2-S1-Su-Sunday-04,57941007-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
8-2255,GLINE_2-S1-Su-Sunday-04,57941008-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
8-2255,GLINE_2-S1-Su-Sunday-04,57941009-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
8-2255,GLINE_2-S1-Su-Sunday-04,57941010-GLINE_2-S1-Su-Sunday-04,"to Queen Anne",1,,S1-Su04-8-W1-3
10-2255,GLINE_2-S1-Su-Sunday-04,57941011-GLINE_2-S1-Su-Sunday-04,"to Downtown Seattle",1,6421862,S1-Su04-10-s1-1
10-2255,GLINE_2-S1-Su-Sunday-04,57941012-GLINE_2-S1-Su-Sunday-04,"to Downtown Seattle",1,6421863,S1-Su04-10-s1-1
10-2255,GLINE_2-S1-Su-Sunday-04,57941013-GLINE_2-S1-Su-Sunday-04,"to Downtown Seattle",1,6421862,S1-Su04-10-s1-1
10-2255,GLINE_2-S1-Su-Sunday-04,57941014-GLINE_2-S1-Su-Sunday-04,"to Downtown Seattle",1,6421863,S1-Su04-10-s1-1
10-2255,GLINE_2-S1-Su-Sunday-04,57941015-GLINE_2-S1-Su-Sunday-04,"to Downtown Seattle",1,6421862,S1-Su04-10-s1-1
10-2255,GLINE_2-S1-Su-Sunday-04,57941016-GLINE_2-S1-Su-Sunday-04,"to Downtown Seattle",1,6421863,S1-Su04-10-s1-1
10-2255,GLINE_2-S1-Su-Sunday-04,57941017-GLINE_2-S1-Su-Sunday-04,"to Downtown Seattle",1,6421862,S1-Su04-10-s1-1
10-2255,GLINE_2-S1-Su-Sunday-04,57941018-GLINE_2-S1-Su-Sunday-04,"to Downtown Seattle",1,6421863,S1-Su04-10-s1-1
10-2255,GLINE_2-S1-Su-Sunday-04,57941019-GLINE_2-S1-Su-Sunday-04,"to Downtown Seattle",1,6421862,S1-Su04-10-s1-1
10-2255,GLINE_2-S1-Su-Sunday-04,57941020-GLINE_2-S1-Su-Sunday-04,"to Downtown Seattle",1,6421863,S1-Su04-10-s1-1
